Date,Year,Country,Precip_mm,Temp_K,SoilMoisture,Evaporation,NDVI,SPI_1,SPI_3,SPI_6,SPI_12,ONI_DJF,ONI_JFM,ONI_FMA,ONI_MAM,ONI_AMJ,ONI_MJJ,ONI_JJA,ONI_JAS,ONI_ASO,ONI_SON,ONI_OND,ONI_NDJ
01/07/2001,2001,Ethiopia,143.9937046,295.1530972,0.260588301,-0.001692255,0.414557648,0.94860744,0.29046325,0.123884347,0.559233612,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/08/2001,2001,Somalia,8.539145318,299.8442693,0.070083668,-0.000375397,0.204727967,-0.276721908,-0.570371825,-0.952431445,-0.257262625,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/08/2001,2001,Uganda,113.6502425,294.6713587,0.309661607,-0.003416288,0.59847363,-0.253916595,0.532857375,0.969091914,0.472872954,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/08/2001,2001,Kenya,24.44957429,296.6576584,0.15427575,-0.001073358,0.315177493,-0.007540709,0.0165011,-0.314022696,-0.248763439,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/08/2001,2001,Ethiopia,146.0336143,295.1442238,0.27909172,-0.002073206,0.473029158,0.623422925,0.759752736,0.203118968,0.467780387,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/09/2001,2001,Uganda,121.4748611,295.0391215,0.303352716,-0.003678558,0.575727619,0.089568501,0.354305213,0.632451292,0.550397139,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/09/2001,2001,Kenya,20.26423092,297.6200142,0.141680657,-0.001005022,0.295403251,0.336955011,-0.511298993,-0.707559694,-0.240448209,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/09/2001,2001,Ethiopia,84.53750232,295.899504,0.259276369,-0.00212639,0.470445821,-0.724237038,0.395028132,-0.276848714,0.443174677,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/09/2001,2001,Somalia,13.17828035,300.2560108,0.066826733,-0.000291312,0.198781042,-0.231702831,-0.260354659,-1.094719211,-0.279077905,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/10/2001,2001,Somalia,46.64754096,299.490367,0.112589044,-0.000964869,0.209454819,-0.132186165,-0.377018837,-0.969941787,-1.296896047,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/10/2001,2001,Uganda,181.3113335,295.2856406,0.31190778,-0.003584279,0.549028809,1.224589208,0.690061841,0.066405694,0.862171285,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/10/2001,2001,Ethiopia,84.01617989,295.5850016,0.263358687,-0.002262294,0.460938143,0.19463731,0.135294231,0.141711144,-0.146308764,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/10/2001,2001,Kenya,39.64878791,298.2636716,0.150778107,-0.001108787,0.286867986,-0.628625154,-0.94205746,-1.237662604,-0.40008397,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/11/2001,2001,Uganda,134.5544811,294.7652127,0.333601952,-0.00353465,0.589041949,0.515761523,0.878513408,0.824398863,0.733327772,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/11/2001,2001,Somalia,23.8528696,297.7016678,0.139599503,-0.001496023,0.29406183,-0.150060297,0.334445927,-0.458599403,-1.177302744,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/11/2001,2001,Ethiopia,18.63083475,294.7635694,0.221807936,-0.00204763,0.448839983,-0.63953777,-0.500002937,0.097343996,-0.318958828,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/11/2001,2001,Kenya,115.7181927,296.7216243,0.255463536,-0.002592922,0.37687993,0.885449985,-0.012764499,-0.029573054,-0.341326256,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/12/2001,2001,Somalia,7.221645446,298.2120174,0.095858183,-0.000996994,0.280219663,0.65215066,-0.427650472,-0.431600392,-1.127672286,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/12/2001,2001,Ethiopia,8.212278708,295.5824539,0.164341909,-0.001140769,0.370440076,0.353509844,-0.311881709,0.407971526,-0.268702457,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/12/2001,2001,Uganda,42.84009508,296.2472907,0.247602526,-0.0032349,0.566717122,-0.921675398,0.442129584,0.575919619,0.832616897,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/12/2001,2001,Kenya,31.8751566,297.9540315,0.185608731,-0.001979248,0.426391739,-0.75059499,-0.367286339,-0.503804633,-0.370752659,-0.7,-0.5,-0.4,-0.3,-0.3,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3
01/01/2002,2002,Ethiopia,15.71775838,295.482362,0.184593979,-0.001168953,0.325580482,1.341914112,-0.286025753,-0.138263446,-0.080352435,-0.1,0,0.1,0.2,0.4,0.7,0.8,0.9,1,1.2,1.3,1.1
01/01/2002,2002,Kenya,26.6981934,298.6162267,0.169365488,-0.001615131,0.375000945,1.090634358,-0.064706846,-0.351928778,-0.474664336,-0.1,0,0.1,0.2,0.4,0.7,0.8,0.9,1,1.2,1.3,1.1
01/01/2002,2002,Uganda,45.85244872,296.4809363,0.219073753,-0.002652656,0.475473516,0.685615856,0.041930592,0.462766843,0.785997449,-0.1,0,0.1,0.2,0.4,0.7,0.8,0.9,1,1.2,1.3,1.1
01/01/2002,2002,Somalia,1.054510706,298.3502661,0.066566994,-0.000309675,0.227547542,1.838840056,-0.434516504,-0.418513634,-1.060813479,-0.1,0,0.1,0.2,0.4,0.7,0.8,0.9,1,1.2,1.3,1.1
01/02/2002,2002,Somalia,0.144341072,298.3053745,0.062076058,-0.000171814,0.199517091,-0.927807185,0.037360517,-0.412631236,-1.058886765,-0.1,0,0.1,0.2,0.4,0.7,0.8,0.9,1,1.2,1.3,1.1
01/02/2002,2002,Ethiopia,7.638378706,297.0181878,0.151716579,-0.000819274,0.292997053,-0.72543342,0.057510118,-0.54159466,-0.077996303,-0.1,0,0.1,0.2,0.4,0.7,0.8,0.9,1,1.2,1.3,1.1
01/02/2002,2002,Uganda,35.05555893,298.2645624,0.181090936,-0.002492907,0.396093398,-0.221826611,-0.516953812,0.477095839,0.862028732,-0.1,0,0.1,0.2,0.4,0.7,0.8,0.9,1,1.2,1.3,1.1
